id;battle_id;agent_participant;agent_personality;persona_match;relevance;fun_factor;originality;ethical_violation;mode;intensity;session_id;created_at
87a271f4-e71e-40d2-8cbb-76e500aae7d2;dce39b48-981a-4657-8a14-d5c7e7e8c9df;B;trump;70;60;30;40;false;human_vs_ai;spicy;ddd86cfe-f012-4187-bff2-9a29f5612479;2025-12-17 21:21:10.998558+00
c5868fce-2630-4f3c-87f7-52641998e873;c7bc4bf3-a59b-447a-9b4e-3e27d2dc02ed;A;gandhi;50;50;50;50;false;ai_vs_ai;spicy;f7370d2c-a087-4ed8-bf67-bfc745a0758b;2025-12-18 00:37:25.793047+00
1d674dfd-44a1-42ff-8009-9c52369d6e75;c7bc4bf3-a59b-447a-9b4e-3e27d2dc02ed;B;hawking;50;50;50;50;false;ai_vs_ai;spicy;f7370d2c-a087-4ed8-bf67-bfc745a0758b;2025-12-18 00:37:26.053254+00
c2fcf225-4d36-4aac-a85b-db4544878577;4c32827b-23ce-4083-b214-9026500b5f2f;A;messi;80;60;70;70;false;ai_vs_ai;spicy;21efe32a-3fc9-4f7c-a572-e19450c895b5;2025-12-18 04:41:38.481587+00
6ef70572-cf24-4cb6-99fb-eccc6f1e5f6e;4c32827b-23ce-4083-b214-9026500b5f2f;B;genz;80;70;80;70;false;ai_vs_ai;spicy;21efe32a-3fc9-4f7c-a572-e19450c895b5;2025-12-18 04:41:39.052606+00
c6b8e7f9-d262-4bdd-a1ff-63bb700fe10d;51268bdb-2f8e-46a6-b459-fa16600a12f2;A;gandhi;90;90;80;90;false;ai_vs_ai;spicy;0fd263d4-7e7c-4a01-a5ea-056d7d17ed03;2025-12-18 05:38:23.335675+00
5a23a2b8-98bb-4536-a6d5-7716e4ee02a0;51268bdb-2f8e-46a6-b459-fa16600a12f2;B;genz;70;80;70;90;false;ai_vs_ai;spicy;0fd263d4-7e7c-4a01-a5ea-056d7d17ed03;2025-12-18 05:38:23.71197+00
223cabfa-6e70-4121-b6f2-608dbdda01ba;d425052c-555f-4582-8717-94842584877b;A;trump;90;80;90;70;false;ai_vs_ai;spicy;2832f3a0-4c9d-4c64-a835-34c5200b323a;2025-12-18 05:44:36.800586+00
75767f12-b1c0-4db6-874a-6cc2e7f8defe;d425052c-555f-4582-8717-94842584877b;B;messi;80;70;80;90;false;ai_vs_ai;spicy;2832f3a0-4c9d-4c64-a835-34c5200b323a;2025-12-18 05:44:37.233808+00
90d11c39-4f78-40c1-a32f-a5f918928a4c;137a564d-b708-4a08-bb2c-fcac2d25825c;A;amitabh;20;90;0;20;false;ai_vs_ai;spicy;b331b598-5d08-423a-8e69-f10ff38d8d9c;2025-12-18 05:47:30.590395+00
